haus,ebene,raumnummer,decke,brüstungskanal,bodentank,anmerkung
7/10,U1,12,0,0,0,
7/10,U1,11,0,0,1,
7/10,U1,13,0,0,2,
7/10,0,1,0,2,0,
7/10,0,12,0,0,1,altverkabelung
7/10,0,12,0,0,6,neuverkabelung
7/10,0,2,0,0,2,altverkabelung
7/10,0,2,0,0,11,neuverkabelung
7/10,0,3,0,0,2,altverkabelung
7/10,0,3,0,0,6,neuverkabelung
7/10,0,13,0,0,4,
7/10,0,14,0,4,0,
7/10,0,15,0,3,0,
7/10,0,16,0,0,2,
7/10,0,17,0,1,1,
9,0,4,1,8,0,
9,0,3,0,8,0,
